hname,shcode,expcode,etfchk,filler,gubun
KOSEF 미국S&P500(H),449780,KR7449780006,1,,1
에코프로머티,450080,KR7450080007,0,,1
KOSEF SK그룹대표주,450120,KR7450120001,1,,1
코오롱모빌리티그룹,450140,KR7450140009,0,,1
코오롱모빌리티그룹우,45014K,KR745014K018,0,,1
KODEX 한중전기차(합성),450180,KR7450180005,1,,1
KODEX 한중반도체(합성),450190,KR7450190004,1,,1
SOL 코스닥150,450910,KR7450910005,1,,1
ARIRANG 종합채권(AA-이상)액티브,451000,KR7451000004,1,,1
KTOP K200액티브,451060,KR7451060008,1,,1
에셋플러스 글로벌영에이지액티브,451150,KR7451150007,1,,1
TIGER 국고채30년스트립액티브,451530,KR7451530000,1,,1
TIGER 종합채권(AA-이상)액티브,451540,KR7451540009,1,,1
ARIRANG 국고채30년액티브,451600,KR7451600001,1,,1
KBSTAR 국채30년레버리지KAP(합성),451670,KR7451670004,1,,1
한화리츠,451800,KR7451800007,0,,1
ACE 미국30년국채선물레버리지(합성 H),452250,KR7452250004,1,,1
한화갤러리아,452260,KR7452260003,0,,1
한화갤러리아우,45226K,KR745226K018,0,,1
SOL 미국배당다우존스(H),452360,KR7452360001,1,,1
VITA 밸류알파액티브,452440,KR7452440001,1,,1
ARIRANG KOFR금리,453010,KR7453010001,1,,1
HANARO KOFR금리액티브(합성),453060,KR7453060006,1,,1
KOSEF 미국나스닥100(H),453080,KR7453080004,1,,1
KBSTAR 미국S&P500(H),453330,KR7453330003,1,,1
현대그린푸드,453340,KR7453340002,0,,1
TIGER 24-04 회사채(A+이상)액티브,453530,KR7453530008,1,,1
TIGER 25-10 회사채(A+이상)액티브,453540,KR7453540007,1,,1
KODEX 미국S&P500필수소비재,453630,KR7453630006,1,,1
KODEX 미국S&P500헬스케어,453640,KR7453640005,1,,1
KODEX 미국S&P500금융,453650,KR7453650004,1,,1
KODEX 미국S&P500경기소비재,453660,KR7453660003,1,,1
KODEX 인도Nifty50,453810,KR7453810004,1,,1
KODEX 인도Nifty50레버리지(합성),453820,KR7453820003,1,,1
ACE 미국30년국채액티브(H),453850,KR7453850000,1,,1
TIGER 인도니프티50,453870,KR7453870008,1,,1
TIGER TSMC밸류체인FACTSET,453950,KR7453950008,1,,1
KOSEF 차이나내수소비TOP CSI,454180,KR7454180001,1,,1
HANARO CAPEX설비투자iSelect,454320,KR7454320003,1,,1
히어로즈 종합채권(AA-이상)액티브,454780,KR7454780008,1,,1
두산로보틱스,454910,KR7454910001,0,,1
KODEX 미국달러SOFR금리액티브(합성),455030,KR7455030007,1,,1
ACE 미국하이일드액티브(H),455660,KR7455660001,1,,1
SOL 반도체소부장Fn,455850,KR7455850008,1,,1
SOL 2차전지소부장Fn,455860,KR7455860007,1,,1
KBSTAR 머니마켓액티브,455890,KR7455890004,1,,1
KBSTAR 미국달러SOFR금리액티브(합성),455960,KR7455960005,1,,1
OCI,456040,KR7456040005,0,,1
HANARO 유로존국채25년플러스(합성 H),456100,KR7456100007,1,,1
ARIRANG 미국달러SOFR금리액티브(합성),456200,KR7456200005,1,,1
KODEX 유럽명품TOP10 STOXX,456250,KR7456250000,1,,1
TIMEFOLIO 글로벌AI인공지능액티브,456600,KR7456600006,1,,1
TIGER 미국달러SOFR금리액티브(합성),456610,KR7456610005,1,,1
TIGER 차이나전기차레버리지(합성),456680,KR7456680008,1,,1
ACE 미국달러SOFR금리(합성),456880,KR7456880004,1,,1
이수스페셜티케미컬,457190,KR7457190007,0,,1
ACE 테슬라밸류체인액티브,457480,KR7457480002,1,,1
KODEX 33-06 국고채액티브,457690,KR7457690006,1,,1
KODEX 53-09 국고채액티브,457700,KR7457700003,1,,1
BNK 미래전략기술액티브,457930,KR7457930006,1,,1
ARIRANG 태양광&ESS Fn,457990,KR7457990000,1,,1
WOORI 단기국공채액티브,458030,KR7458030004,1,,1
히어로즈 CD금리액티브(합성),458210,KR7458210002,1,,1
TIGER 미국채30년스트립액티브(합성 H),458250,KR7458250008,1,,1
TIGER 미국투자등급회사채액티브(H),458260,KR7458260007,1,,1
TIGER 미국배당다우존스,458730,KR7458730009,1,,1
TIGER 미국배당+3%프리미엄다우존스,458750,KR7458750007,1,,1
TIGER 미국배당+7%프리미엄다우존스,458760,KR7458760006,1,,1
SOL 유럽탄소배출권선물인버스ICE(H),459370,KR7459370003,1,,1
KODEX 테슬라밸류체인FactSet,459560,KR7459560009,1,,1
KODEX CD금리액티브(합성),459580,KR7459580007,1,,1
KBSTAR 글로벌주식분산액티브,459750,KR7459750006,1,,1
히어로즈 미국성장기업30액티브,459790,KR7459790002,1,,1
히어로즈 미국달러SOFR금리액티브(합성),460270,KR7460270002,1,,1
KOSEF Fn유전자혁신기술,460280,KR7460280001,1,,1
KBSTAR 미국S&P배당킹,460660,KR7460660004,1,,1
동국씨엠,460850,KR7460850001,0,,1
동국제강,460860,KR7460860000,0,,1
ACE 글로벌인컴TOP10 SOLACTIVE,460960,KR7460960008,1,,1
ACE 25-06 회사채(AA-이상)액티브,461260,KR7461260002,1,,1
