hname,shcode,expcode,etfchk,filler,gubun
삼성 KRX 금현물 ETN,530067,KRG531400676,0,,1
삼성 HSCEI ETN(H),530073,KRG530000733,0,,1
삼성 인버스 HSCEI ETN(H),530074,KRG530000741,0,,1
삼성 레버리지 HSCEI ETN(H),530075,KRG530000758,0,,1
삼성 인버스 2X HSCEI ETN(H),530076,KRG530000766,0,,1
삼성 나스닥 100 ETN(H),530077,KRG530000774,0,,1
삼성 인버스 나스닥 100 ETN(H),530078,KRG530000782,0,,1
삼성 항셍테크 ETN(H),530079,KRG530000790,0,,1
삼성 인버스 항셍테크 ETN(H),530080,KRG530000808,0,,1
삼성 레버리지 항셍테크 ETN(H),530081,KRG530000816,0,,1
삼성 인버스 2X 항셍테크 ETN(H),530082,KRG530000824,0,,1
삼성 금 선물 ETN(H),530083,KRG530000832,0,,1
삼성 인버스 금 선물 ETN(H),530084,KRG530000840,0,,1
삼성 KRX 2차전지 K-뉴딜 ETN,530087,KRG530000873,0,,1
삼성 레버리지 KRX 2차전지 K-뉴딜 ETN,530088,KRG530000881,0,,1
삼성 은 선물 ETN(H),530089,KRG530000899,0,,1
삼성 인버스 은 선물 ETN(H),530090,KRG530000907,0,,1
삼성 코스피 200 ETN,530091,KRG530000915,0,,1
삼성 인버스 코스피 200 선물 ETN,530092,KRG530000923,0,,1
삼성 코스닥 150 ETN,530093,KRG530000931,0,,1
삼성 인버스 코스닥 150 선물 ETN,530094,KRG530000949,0,,1
삼성 구리 선물 ETN(H),530095,KRG530000956,0,,1
삼성 인버스 구리 선물 ETN(H),530096,KRG530000964,0,,1
삼성 알루미늄 선물 ETN,530097,KRG530000972,0,,1
삼성 블룸버그 WTI원유 선물 ETN,530098,KRG530000980,0,,1
삼성 블룸버그 레버리지 WTI원유 선물 ETN,530099,KRG530000998,0,,1
삼성 블룸버그 인버스 2X WTI원유 선물 ETN,530100,KRG530001004,0,,1
삼성 FnGuide 웹 3.0 ETN,530101,KRG530001012,0,,1
삼성 인버스 2X 천연가스 선물 ETN C,530102,KRG530001020,0,,1
삼성 KRX 리츠 TOP10 월배당 ETN,530103,KRG530001038,0,,1
삼성 레버리지 코스피200 선물 ETN,530104,KRG530001046,0,,1
삼성 인버스 2X 코스피200 선물 ETN,530105,KRG530001053,0,,1
삼성 레버리지 코스닥150 선물 ETN,530106,KRG530001061,0,,1
삼성 인버스 2X 코스닥150 선물 ETN,530107,KRG530001079,0,,1
삼성 S&P500 VIX S/T 선물 ETN,530109,KRG530001095,0,,1
삼성 인버스 0.5X S&P500 VIX S/T선물 ETN,530110,KRG530001103,0,,1
삼성 레버리지 천연가스 선물 ETN C,530111,KRG530001111,0,,1
삼성 S&P500 ETN,530112,KRG530001129,0,,1
삼성 레버리지 S&P500 선물 ETN,530113,KRG530001137,0,,1
삼성 인버스 2X S&P500 선물 ETN,530114,KRG530001145,0,,1
삼성 레버리지 나스닥 100 ETN,530115,KRG530001152,0,,1
삼성 인버스 2X 나스닥 100 ETN,530116,KRG530001160,0,,1
QV 미국 IT TOP5 ETN(H),550041,KRG552100411,0,,1
QV 인버스 레버리지 WTI원유 선물 ETN(H),550043,KRG552400431,0,,1
QV 레버리지 S&P500 ETN,550044,KRG552100445,0,,1
QV 인버스 레버리지 S&P500 ETN,550045,KRG552100452,0,,1
QV 코스피 변동성 매칭형 양매도 ETN,550057,KRG551800573,0,,1
QV iSelect 글로벌 EMP ETN(H),550059,KRG550000597,0,,1
QV 인버스 미국 IT TOP5 ETN(H),550061,KRG550000613,0,,1
QV 레버리지 금 선물 ETN(H),550062,KRG550000621,0,,1
QV 인버스 레버리지 금 선물 ETN(H),550063,KRG550000639,0,,1
QV 레버리지 은 선물 ETN(H),550064,KRG550000647,0,,1
QV 인버스 레버리지 은 선물 ETN(H),550065,KRG550000654,0,,1
QV S&P500 버퍼10% 9월 ETN,550066,KRG550000662,0,,1
QV 레버리지 구리 선물 ETN(H),550069,KRG550000696,0,,1
QV 인버스 레버리지 구리 선물 ETN(H),550070,KRG550000704,0,,1
QV 블룸버그 2X WTI원유선물 ETN,550071,KRG550000712,0,,1
QV 블룸버그 -2X WTI원유선물 ETN,550072,KRG550000720,0,,1
QV iSelect-WG 그린에너지 ESG ETN,550073,KRG550000738,0,,1
QV 블룸버그 2X 천연가스 선물 ETN(H),550074,KRG550000746,0,,1
QV 블룸버그 -2X 천연가스 선물 ETN(H),550075,KRG550000753,0,,1
QV US 500 월간레버리지 ETN(H),550076,KRG550000761,0,,1
QV S&P500 버퍼10% 3월 ETN(H),550077,KRG550000779,0,,1
QV S&P500 버퍼10% 6월 ETN(H),550078,KRG550000787,0,,1
QV S&P500 버퍼10% 12월 ETN(H),550079,KRG550000795,0,,1
QV US 500 ETN(H),550080,KRG550000803,0,,1
QV S&P500 VIX S/T 선물 ETN D,550081,KRG550000811,0,,1
QV KIS CD금리투자 ETN,550082,KRG550000829,0,,1
QV iSelect 배터리 재활용 Top10 ETN,550083,KRG550000837,0,,1
한투 코스피 양매도 5% OTM ETN,570019,KRG571100194,0,,1
한투 레버리지 S&P500 선물 ETN(H),570022,KRG572100227,0,,1
한투 인버스 2X S&P500 선물 ETN(H),570023,KRG572100235,0,,1
한투 코스피 양매도 3% OTM ETN,570029,KRG571100293,0,,1
한투 레버리지 HSCEI ETN(H),570031,KRG576100314,0,,1
한투 인버스 2X HSCEI ETN(H),570032,KRG576100322,0,,1
한투 인버스 나스닥 100 ETN,570042,KRG572100425,0,,1
한투 레버리지 나스닥 100 ETN,570043,KRG572100433,0,,1
한투 인버스 2X 나스닥 100 ETN,570044,KRG572100441,0,,1
한투 FTSE100 ETN,570047,KRG570000478,0,,1
한투 S&P500 선물 ETN,570050,KRG570000502,0,,1
한투 나스닥 100 ETN,570051,KRG570000510,0,,1
한투 플래티넘 선물 ETN,570052,KRG570000528,0,,1
한투 인버스 플래티넘 선물 ETN,570053,KRG570000536,0,,1
한투 레버리지 유로스탁스50 ETN(H) B,570054,KRG570000544,0,,1
한투 금 선물 ETN,570055,KRG570000551,0,,1
한투 인버스 금 선물 ETN,570056,KRG570000569,0,,1
한투 은 선물 ETN,570057,KRG570000577,0,,1
한투 인버스 은 선물 ETN,570058,KRG570000585,0,,1
한투 레버리지 금 선물 ETN,570059,KRG570000593,0,,1
한투 인버스 2X 금 선물 ETN,570060,KRG570000601,0,,1
한투 레버리지 은 선물 ETN,570061,KRG570000619,0,,1
한투 인버스 2X 은 선물 ETN,570062,KRG570000627,0,,1
한투 베트남 VN30 선물 ETN(H),570063,KRG570000635,0,,1
한투 인버스 베트남 VN30 선물 ETN(H),570064,KRG570000643,0,,1
한투 레버리지 베트남 VN30 선물 ETN(H),570065,KRG570000650,0,,1
한투 인버스 2X 베트남 VN30 선물 ETN(H),570066,KRG570000668,0,,1
한투 레버리지 플래티넘 선물 ETN,570069,KRG570000692,0,,1
한투 인버스 2X 플래티넘 선물 ETN,570070,KRG570000700,0,,1
한투 구리 선물 ETN,570071,KRG570000718,0,,1
한투 레버리지 구리 선물 ETN,570072,KRG570000726,0,,1
한투 인버스 2X 구리 선물 ETN,570073,KRG570000734,0,,1
한투 S&P 유럽탄소배출권 선물 ETN(H),570074,KRG570000742,0,,1
한투 블룸버그 WTI원유 선물 ETN,570077,KRG570000775,0,,1
한투 블룸버그 레버리지 WTI원유 선물 ETN,570078,KRG570000783,0,,1
한투 블룸버그 인버스 2X WTI원유 선물 ETN,570079,KRG570000791,0,,1
한투 레버리지 코스닥150선물 ETN,570081,KRG570000817,0,,1
한투 인버스 2X 코스닥150선물 ETN,570082,KRG570000825,0,,1
한투 블룸버그 인버스 2X 천연가스선물 ETN,570084,KRG570000841,0,,1
한투 블룸버그 인도네시아 대표원자재 ETN,570085,KRG570000858,0,,1
한투 S&P500 VIX S/T 선물 ETN(H),570088,KRG570000882,0,,1
한투 인버스 0.5X S&P500 VIX S/T 선물 ETN,570089,KRG570000890,0,,1
한투 KIS CD금리투자 ETN,570090,KRG570000908,0,,1
한투 인버스 유로스탁스50 ETN(H) C,570091,KRG570000916,0,,1
한투 인버스 2X 유로스탁스50 ETN(H) B,570092,KRG570000924,0,,1
한투 레버리지 천연가스 선물 ETN B,570093,KRG570000932,0,,1
한투 일본 엔선물 ETN C,570094,KRG570000940,0,,1
한투 레버리지 일본 엔선물 ETN C,570095,KRG570000957,0,,1
한투 인버스 2X 일본 엔선물 ETN,570096,KRG570000965,0,,1
한투 S&P 엔달러 선물 ETN(H),570097,KRG570000973,0,,1
한투 S&P 레버리지 엔달러 선물 ETN(H),570098,KRG570000981,0,,1
한투 S&P 인버스 2X 엔달러 선물 ETN(H),570099,KRG570000999,0,,1
KB Wise 분할매매 ETN,580010,KRG581100101,0,,1
KB 인버스 2X 나스닥 100 ETN,580014,KRG580000146,0,,1
KB 레버리지 나스닥 100 ETN,580015,KRG580000153,0,,1
KB 레버리지 S&P 500 선물 ETN(H),580016,KRG580000161,0,,1
KB 인버스 2X S&P 500 선물 ETN,580017,KRG580000179,0,,1
KB 인버스 2X 항셍테크 선물 ETN,580019,KRG580000195,0,,1
KB 천연가스 선물 ETN(H),580020,KRG580000203,0,,1
KB 인버스 천연가스 선물 ETN,580021,KRG580000211,0,,1
KB 레버리지 금 선물 ETN(H),580022,KRG580000229,0,,1
KB 인버스 2X 금 선물 ETN(H),580023,KRG580000237,0,,1
KB 레버리지 KRX 2차전지 K-뉴딜 ETN,580025,KRG580000252,0,,1
KB 레버리지 은 선물 ETN(H),580026,KRG580000260,0,,1
KB 인버스 2X 은 선물 ETN(H),580027,KRG580000278,0,,1
KB KOSPI 200 선물 ETN,580028,KRG580000286,0,,1
KB 인버스 KOSPI 200 선물 ETN,580029,KRG580000294,0,,1
KB KOSDAQ 150 선물 ETN,580030,KRG580000302,0,,1
KB 인버스 KOSDAQ150 선물 ETN,580031,KRG580000310,0,,1
KB 레버리지 구리 선물 ETN(H),580032,KRG580000328,0,,1
KB 인버스 2X 구리 선물 ETN(H),580033,KRG580000336,0,,1
KB 레버리지 FANG 플러스 ETN(H),580034,KRG580000344,0,,1
KB S&P 유럽탄소배출권 선물 ETN(H),580035,KRG580000351,0,,1
KB S&P 레버리지 WTI원유 선물 ETN(H),580036,KRG580000369,0,,1
KB S&P 인버스 2X WTI원유 선물 ETN,580037,KRG580000377,0,,1
KB 레버리지 KOSPI 200 선물 ETN,580039,KRG580000393,0,,1
KB 인버스 2X KOSPI 200 선물 ETN,580040,KRG580000401,0,,1
KB 레버리지 KOSDAQ 150 선물 ETN,580043,KRG580000435,0,,1
KB 인버스 2X KOSDAQ 150 선물 ETN,580044,KRG580000443,0,,1
KB 블룸버그 인버스2X 천연가스선물 ETN(H),580046,KRG580000468,0,,1
KB 레버리지 항셍테크 선물 ETN(H) B,580047,KRG580000476,0,,1
KB CSI 300 ETN,580048,KRG580000484,0,,1
KB CSI 500 ETN,580049,KRG580000492,0,,1
KB STAR 50 ETN,580050,KRG580000500,0,,1
KB 레버리지 밀 선물 ETN,580051,KRG580000518,0,,1
KB 인버스 2X 밀 선물 ETN,580052,KRG580000526,0,,1
KB 레버리지 콩 선물 ETN,580053,KRG580000534,0,,1
KB 인버스 2X 콩 선물 ETN,580054,KRG580000542,0,,1
KB 블룸버그 레버리지 천연가스 선물 ETN,580055,KRG580000559,0,,1
미래에셋 중국 심천 100 ETN,590018,KRG596100187,0,,1
메리츠 인플레이션 국채 ETN,610001,KRG610000017,0,,1
메리츠 레버리지 인플레이션 국채 ETN,610002,KRG610000025,0,,1
메리츠 미국 인플레이션 국채 ETN(H),610003,KRG610000033,0,,1
메리츠 미국레버리지 인플레이션국채ETN(H),610004,KRG610000041,0,,1
메리츠 국채30년 ETN,610007,KRG610000074,0,,1
메리츠 레버리지 국채30년 ETN,610008,KRG610000082,0,,1
메리츠 인버스 국채30년 ETN,610009,KRG610000090,0,,1
메리츠 인버스 2X 국채30년 ETN,610010,KRG610000108,0,,1
메리츠 금 선물 ETN(H),610011,KRG610000116,0,,1
메리츠 레버리지 금 선물 ETN(H),610012,KRG610000124,0,,1
메리츠 인버스 2X 금 선물 ETN(H),610013,KRG610000132,0,,1
메리츠 은 선물 ETN(H),610014,KRG610000140,0,,1
메리츠 인버스 은 선물 ETN(H),610015,KRG610000157,0,,1
메리츠 레버리지 은 선물 ETN(H),610016,KRG610000165,0,,1
메리츠 인버스 2X 은 선물 ETN(H),610017,KRG610000173,0,,1
메리츠 국채10년 ETN,610018,KRG610000181,0,,1
메리츠 레버리지 국채10년 ETN,610019,KRG610000199,0,,1
메리츠 인버스 국채10년 ETN,610020,KRG610000207,0,,1
메리츠 인버스 2X 국채10년 ETN,610021,KRG610000215,0,,1
메리츠 미국채10년 ETN(H),610022,KRG610000223,0,,1
메리츠 레버리지 미국채10년 ETN(H),610023,KRG610000231,0,,1
메리츠 인버스 미국채10년 ETN(H),610024,KRG610000249,0,,1
메리츠 인버스 2X 미국채10년 ETN(H),610025,KRG610000256,0,,1
메리츠 구리 선물 ETN(H),610026,KRG610000264,0,,1
메리츠 인버스 구리 선물 ETN(H),610027,KRG610000272,0,,1
메리츠 레버리지 구리 선물 ETN(H),610028,KRG610000280,0,,1
메리츠 인버스 2X 구리 선물 ETN(H),610029,KRG610000298,0,,1
메리츠 S&P 유럽탄소배출권 선물 ETN(H),610030,KRG610000306,0,,1
메리츠 CSI 300 ETN,610032,KRG610000322,0,,1
메리츠 STAR 50 ETN,610033,KRG610000330,0,,1
메리츠 대표 농산물 선물 ETN(H),610034,KRG610000348,0,,1
메리츠 레버리지 대표 농산물 선물 ETN(H),610035,KRG610000355,0,,1
메리츠 인버스 2X 대표 농산물 선물 ETN(H),610036,KRG610000363,0,,1
메리츠 미국채30년 ETN(H),610037,KRG610000371,0,,1
메리츠 레버리지 미국채30년 ETN(H),610038,KRG610000389,0,,1
메리츠 인버스 미국채30년 ETN(H),610039,KRG610000397,0,,1
메리츠 인버스 2X 미국채30년 ETN(H),610040,KRG610000405,0,,1
메리츠 블룸버그 레버리지 WTI선물 ETN(H),610041,KRG610000413,0,,1
메리츠 블룸버그 인버스 2X WTI선물 ETN(H),610042,KRG610000421,0,,1
메리츠 천연가스 선물 ETN(H),610043,KRG610000439,0,,1
메리츠 인버스 천연가스 선물 ETN(H),610044,KRG610000447,0,,1
메리츠 국채3년 ETN,610045,KRG610000454,0,,1
메리츠 레버리지 국채3년 ETN,610046,KRG610000462,0,,1
메리츠 인버스 국채3년 ETN,610047,KRG610000470,0,,1
메리츠 인버스 2X 국채3년 ETN,610048,KRG610000488,0,,1
메리츠 국채5년 ETN,610049,KRG610000496,0,,1
메리츠 레버리지 국채5년 ETN,610050,KRG610000504,0,,1
메리츠 인버스 국채5년 ETN,610051,KRG610000512,0,,1
메리츠 인버스 2X 국채5년 ETN,610052,KRG610000520,0,,1
메리츠 블룸버그 -2X 천연가스 선물 ETN(H),610054,KRG610000546,0,,1
메리츠 3X 레버리지 국채3년 ETN,610055,KRG610000553,0,,1
메리츠 인버스 3X 국채3년 ETN,610056,KRG610000561,0,,1
메리츠 3X 레버리지 국채5년 ETN,610057,KRG610000579,0,,1
메리츠 인버스 3X 국채5년 ETN,610058,KRG610000587,0,,1
메리츠 3X 레버리지 국채10년 ETN,610059,KRG610000595,0,,1
메리츠 인버스 3X 국채10년 ETN,610060,KRG610000603,0,,1
메리츠 3X 레버리지 국채30년 ETN,610061,KRG610000611,0,,1
메리츠 인버스 3X 국채30년 ETN,610062,KRG610000629,0,,1
메리츠 KIS CD금리투자 ETN,610063,KRG610000637,0,,1
메리츠 KAP 통안채 6개월 ETN,610064,KRG610000645,0,,1
메리츠 KIS 통안채 1년 ETN,610065,KRG610000652,0,,1
메리츠 KAP 통안채 3개월 ETN,610066,KRG610000660,0,,1
메리츠 블룸버그 2X 천연가스선물 ETN(H) B,610067,KRG610000678,0,,1
메리츠 KAP 일본 엔화 ETN,610068,KRG610000686,0,,1
메리츠 KAP 레버리지 일본 엔화 ETN,610069,KRG610000694,0,,1
메리츠 KAP 인버스 2X 일본 엔화 ETN,610070,KRG610000702,0,,1
메리츠 KAP 중국 위안화 ETN,610071,KRG610000710,0,,1
메리츠 KAP 레버리지 중국 위안화 ETN,610072,KRG610000728,0,,1
메리츠 KAP 인버스 2X 중국 위안화 ETN,610073,KRG610000736,0,,1
하나 레버리지 구리 선물 ETN(H),700009,KRG700000091,0,,1
하나 레버리지 옥수수 선물 ETN(H),700011,KRG700000117,0,,1
하나 인버스 2X 옥수수 선물 ETN(H),700012,KRG700000125,0,,1
하나 레버리지 콩 선물 ETN(H),700013,KRG700000133,0,,1
하나 인버스 2X 콩 선물 ETN(H),700014,KRG700000141,0,,1
하나 S&P 레버리지 WTI원유 선물 ETN,700015,KRG700000158,0,,1
하나 S&P 인버스 2X WTI원유 선물 ETN,700016,KRG700000166,0,,1
하나 레버리지 코스닥150 선물 ETN,700017,KRG700000174,0,,1
하나 인버스 2X 코스닥150 선물 ETN,700018,KRG700000182,0,,1
하나 블룸버그 -2X 천연가스 선물 ETN(H),700020,KRG700000208,0,,1
하나 iSelect-WG 탄소중립 ESG ETN,700021,KRG700000216,0,,1
하나 Solactive US Tech Top 10 ETN(H),700022,KRG700000224,0,,1
하나 Solactive 2X US Tech Top 10 ETN(H),700023,KRG700000232,0,,1
하나 -0.5X S&P500 VIX S/T 선물 ETN(H),700024,KRG700000240,0,,1
하나 블룸버그 2X 천연가스 선물 ETN(H) B,700025,KRG700000257,0,,1
키움 미국달러선물 ETN,760001,KRG760000015,0,,1
키움 코스피 200 ETN,760002,KRG760000023,0,,1
키움 코스닥 150 ETN,760003,KRG760000031,0,,1
키움 인버스 미국달러선물 ETN,760004,KRG760000049,0,,1
키움 INDXX 미국테크탑10 ETN,760005,KRG760000056,0,,1
키움 KPOP ETN,760006,KRG760000064,0,,1
삼천당제약,000250,KR7000250001,0,,2
중앙에너비스,000440,KR7000440008,0,,2
신라섬유,001000,KR7001000009,0,,2
안국약품,001540,KR7001540004,0,,2
무림SP,001810,KR7001810001,0,,2
이화공영,001840,KR7001840008,0,,2
피에스텍,002230,KR7002230001,0,,2
삼일기업공사,002290,KR7002290005,0,,2
한탑,002680,KR7002680007,0,,2
신신제약,002800,KR7002800001,0,,2
선광,003100,KR7003100005,0,,2
대주산업,003310,KR7003310000,0,,2
하림지주,003380,KR7003380003,0,,2
에이스침대,003800,KR7003800000,0,,2
한국가구,004590,KR7004590006,0,,2
창해에탄올,004650,KR7004650008,0,,2
대륙제관,004780,KR7004780003,0,,2
동국산업,005160,KR7005160007,0,,2
동진쎄미켐,005290,KR7005290002,0,,2
푸드웰,005670,KR7005670005,0,,2
대원산업,005710,KR7005710009,0,,2
한일사료,005860,KR7005860002,0,,2
매일홀딩스,005990,KR7005990007,0,,2
국영지앤엠,006050,KR7006050009,0,,2
피제이전자,006140,KR7006140008,0,,2
대양제지,006580,KR7006580005,0,,2
동구바이오제약,006620,KR7006620009,0,,2
서부T&D,006730,KR7006730006,0,,2
보성파워텍,006910,KR7006910004,0,,2
모헨즈,006920,KR7006920003,0,,2
푸른저축은행,007330,KR7007330004,0,,2
진양제약,007370,KR7007370000,0,,2
네이처셀,007390,KR7007390008,0,,2
와이엠,007530,KR7007530009,0,,2
대원,007680,KR7007680002,0,,2
대명소노시즌,007720,KR7007720006,0,,2
한일화학,007770,KR7007770001,0,,2
에스엠코어,007820,KR7007820004,0,,2
원풍물산,008290,KR7008290009,0,,2
원풍,008370,KR7008370009,0,,2
부스타,008470,KR7008470007,0,,2
대동기어,008830,KR7008830002,0,,2
삼아제약,009300,KR7009300005,0,,2
포스코엠텍,009520,KR7009520008,0,,2
삼보산업,009620,KR7009620006,0,,2
코센,009730,KR7009730003,0,,2
엠에스씨,009780,KR7009780008,0,,2
대한광통신,010170,KR7010170009,0,,2
흥국,010240,KR7010240000,0,,2
쌍용정보통신,010280,KR7010280006,0,,2
오리콤,010470,KR7010470003,0,,2
경동제약,011040,KR7011040003,0,,2
형지I&C,011080,KR7011080009,0,,2
유니크,011320,KR7011320009,0,,2
서한,011370,KR7011370004,0,,2
세보엠이씨,011560,KR7011560000,0,,2
뉴인텍,012340,KR7012340006,0,,2
원일특강,012620,KR7012620001,0,,2
리드코프,012700,KR7012700001,0,,2
신일제약,012790,KR7012790002,0,,2
모베이스전자,012860,KR7012860003,0,,2
하이록코리아,013030,KR7013030002,0,,2
동원개발,013120,KR7013120001,0,,2
아진산업,013310,KR7013310008,0,,2
CBI,013720,KR7013720008,0,,2
스페코,013810,KR7013810007,0,,2
아가방컴퍼니,013990,KR7013990007,0,,2
메디앙스,014100,KR7014100002,0,,2
원익큐브,014190,KR7014190003,0,,2
광림,014200,KR7014200000,0,,2
부방,014470,KR7014470009,0,,2
고려제약,014570,KR7014570006,0,,2
성광벤드,014620,KR7014620009,0,,2
오리엔탈정공,014940,KR7014940001,0,,2
삼륭물산,014970,KR7014970008,0,,2
코콤,015710,KR7015710007,0,,2
성우하이텍,015750,KR7015750003,0,,2
리더스코스메틱,016100,KR7016100000,0,,2
SGC이테크건설,016250,KR7016250003,0,,2
큐캐피탈,016600,KR7016600009,0,,2
디모아,016670,KR7016670002,0,,2
카나리아바이오,016790,KR7016790008,0,,2
카스,016920,KR7016920001,0,,2
신원종합개발,017000,KR7017000001,0,,2
인터엠,017250,KR7017250002,0,,2
삼현철강,017480,KR7017480005,0,,2
세명전기,017510,KR7017510009,0,,2
대림제지,017650,KR7017650003,0,,2
한국알콜,017890,KR7017890005,0,,2
유니슨,018000,KR7018000000,0,,2
진로발효,018120,KR7018120006,0,,2
브이티,018290,KR7018290007,0,,2
삼목에스폼,018310,KR7018310003,0,,2
우진비앤지,018620,KR7018620005,0,,2
서울제약,018680,KR7018680009,0,,2
바른손,018700,KR7018700005,0,,2
베뉴지,019010,KR7019010008,0,,2
와이지-원,019210,KR7019210004,0,,2
일지테크,019540,KR7019540004,0,,2
SBI인베스트먼트,019550,KR7019550003,0,,2
리더스 기술투자,019570,KR7019570001,0,,2
엠벤처투자,019590,KR7019590009,0,,2
글로본,019660,KR7019660000,0,,2
서연탑메탈,019770,KR7019770007,0,,2
에너토크,019990,KR7019990001,0,,2
대신정보통신,020180,KR7020180006,0,,2
대동금속,020400,KR7020400008,0,,2
시공테크,020710,KR7020710000,0,,2
대호특수강,021040,KR7021040001,0,,2
대호특수강우,021045,KR7021041009,0,,2
에이티넘인베스트,021080,KR7021080007,0,,2
KCC건설,021320,KR7021320007,0,,2
한국큐빅,021650,KR7021650007,0,,2
메이슨캐피탈,021880,KR7021880000,0,,2
포스코DX,022100,KR7022100002,0,,2
TKG애강,022220,KR7022220008,0,,2
태광,023160,KR7023160005,0,,2
유진기업,023410,KR7023410004,0,,2
제이스코홀딩스,023440,KR7023440001,0,,2
CNH,023460,KR7023460009,0,,2
삼보판지,023600,KR7023600000,0,,2
한국캐피탈,023760,KR7023760002,0,,2
플레이위드,023770,KR7023770001,0,,2
동일철강,023790,KR7023790009,0,,2
풍국주정,023900,KR7023900004,0,,2
대한약품,023910,KR7023910003,0,,2
흥구석유,024060,KR7024060006,0,,2
KB오토시스,024120,KR7024120008,0,,2
한일단조,024740,KR7024740003,0,,2
유성티엔에스,024800,KR7024800005,0,,2
이화전기,024810,KR7024810004,0,,2
세원물산,024830,KR7024830002,0,,2
KBI메탈,024840,KR7024840001,0,,2
HLB이노베이션,024850,KR7024850000,0,,2
케이피에프,024880,KR7024880007,0,,2
경창산업,024910,KR7024910002,0,,2
PN풍년,024940,KR7024940009,0,,2
삼천리자전거,024950,KR7024950008,0,,2
시노펙스,025320,KR7025320003,0,,2
DH오토웨어,025440,KR7025440009,0,,2
한국선재,025550,KR7025550005,0,,2
한국정보통신,025770,KR7025770009,0,,2
신라에스지,025870,KR7025870007,0,,2
케이씨피드,025880,KR7025880006,0,,2
동화기업,025900,KR7025900002,0,,2
동신건설,025950,KR7025950007,0,,2
아난티,025980,KR7025980004,0,,2
제이에스티나,026040,KR7026040006,0,,2
특수건설,026150,KR7026150003,0,,2
광진실업,026910,KR7026910000,0,,2
서울전자통신,027040,KR7027040005,0,,2
코리아나,027050,KR7027050004,0,,2
아주IB투자,027360,KR7027360007,0,,2
상보,027580,KR7027580000,0,,2
팜스토리,027710,KR7027710003,0,,2
대성창투,027830,KR7027830009,0,,2
휴맥스홀딩스,028080,KR7028080000,0,,2
HLB,028300,KR7028300002,0,,2
광무,029480,KR7029480001,0,,2
코엔텍,029960,KR7029960002,0,,2
드래곤플라이,030350,KR7030350003,0,,2
한글과컴퓨터,030520,KR7030520001,0,,2
원익홀딩스,030530,KR7030530000,0,,2
양지사,030960,KR7030960009,0,,2
아이즈비전,031310,KR7031310006,0,,2
에스에이엠티,031330,KR7031330004,0,,2
오스템,031510,KR7031510001,0,,2
에스유홀딩스,031860,KR7031860000,0,,2
피에스케이홀딩스,031980,KR7031980006,0,,2
아즈텍WB,032080,KR7032080004,0,,2
다우데이타,032190,KR7032190001,0,,2
삼일,032280,KR7032280000,0,,2
한국파마,032300,KR7032300006,0,,2
케이엠더블유,032500,KR7032500001,0,,2
TJ미디어,032540,KR7032540007,0,,2
피델릭스,032580,KR7032580003,0,,2
유비케어,032620,KR7032620007,0,,2
소프트센,032680,KR7032680001,0,,2
소프트센우,032685,KR7032681009,0,,2
삼진,032750,KR7032750002,0,,2
엠젠솔루션,032790,KR7032790008,0,,2
판타지오,032800,KR7032800005,0,,2
우리기술,032820,KR7032820003,0,,2
비트컴퓨터,032850,KR7032850000,0,,2
더라미,032860,KR7032860009,0,,2
원익,032940,KR7032940009,0,,2
동일기연,032960,KR7032960007,0,,2
바이온,032980,KR7032980005,0,,2
제이엠아이,033050,KR7033050006,0,,2
제룡전기,033100,KR7033100009,0,,2
디지틀조선,033130,KR7033130006,0,,2
엠케이전자,033160,KR7033160003,0,,2
시그네틱스,033170,KR7033170002,0,,2
모아텍,033200,KR7033200007,0,,2
인성정보,033230,KR7033230004,0,,2
코웰패션,033290,KR7033290008,0,,2
엠투엔,033310,KR7033310004,0,,2
제이씨현시스템,033320,KR7033320003,0,,2
좋은사람들,033340,KR7033340001,0,,2
동성화인텍,033500,KR7033500000,0,,2
파라텍,033540,KR7033540006,0,,2
블루콤,033560,KR7033560004,0,,2
네패스,033640,KR7033640004,0,,2
스카이문스테크놀로지,033790,KR7033790007,0,,2
티비씨,033830,KR7033830001,0,,2
파라다이스,034230,KR7034230003,0,,2
해성산업,034810,KR7034810002,0,,2
해성산업1우,03481K,KR703481K019,0,,2
조아제약,034940,KR7034940007,0,,2
한국기업평가,034950,KR7034950006,0,,2
그래디언트,035080,KR7035080001,0,,2
프럼파스트,035200,KR7035200005,0,,2
골드앤에스,035290,KR7035290006,0,,2
기산텔레콤,035460,KR7035460005,0,,2
KG이니시스,035600,KR7035600006,0,,2
솔본,035610,KR7035610005,0,,2
바른손이앤에이,035620,KR7035620004,0,,2
CJ ENM,035760,KR7035760008,0,,2
이지홀딩스,035810,KR7035810001,0,,2
서희건설,035890,KR7035890003,0,,2
JYP Ent.,035900,KR7035900000,0,,2
예림당,036000,KR7036000008,0,,2
아비코전자,036010,KR7036010007,0,,2
케이티알파,036030,KR7036030005,0,,2
위지트,036090,KR7036090009,0,,2
SCI평가정보,036120,KR7036120004,0,,2
클라우드에어,036170,KR7036170009,0,,2
지더블유바이텍,036180,KR7036180008,0,,2
금화피에스시,036190,KR7036190007,0,,2
유니셈,036200,KR7036200004,0,,2
대성미생물,036480,KR7036480002,0,,2
SFA반도체,036540,KR7036540003,0,,2
영풍정밀,036560,KR7036560001,0,,2
감성코퍼레이션,036620,KR7036620003,0,,2
세종텔레콤,036630,KR7036630002,0,,2
HRS,036640,KR7036640001,0,,2
KCI,036670,KR7036670008,0,,2
